,SName,Lyric,Artist,Genres,Popularity,Top Genre
31340,A Winter's Tale (Cosy Fireside Mix),"It's Winter-fall
Red skies are gleaming
Sea-gulls are flyin' over
Swans are floatin' by
Smoking chimney-tops
Am I dreaming
Am I dreaming

The nights draw in
There's a silky moon up in the sky
Children are fantasising
Grown-ups are standin' by
What a super feeling
Am I dreaming
Am I dreaming

So quiet and peaceful
Tranquil and blissful
There's a kind of magic in the air
What a truly magnificent view
A breathtaking scene
With the dreams of the world
In the palm of your hand

A cosy fireside chat
A little this, a little that
Sound of merry laughter skippin' by
Gentle rain beatin' on my face
What an extraordinary place!
And the dream of the child
Is the hope of the man

It's all so beautiful
Like a landscape painting in the sky
Mountains are zoomin' higher
Little girls scream an' cry
My world is spinnin' and spinnin' and spinnin'
It's unbelievable
Sends me reeling
Am I dreaming
Am I dreaming
It's bliss",Queen,Rock; Hard Rock; Progressivo,39.7,5
94347,Rap Phenomenon,"""Well it's the Funk Docta Spock..""
""Meth-Tical..""
""Biggie.. Biggie.."" (mmmhmmmmmm)

[Notorious B.I.G.]
Uhh.. uhh.. uhh.. (yo c'mon Big) uhh..
Fuck that, I preach it, my nine reaches
the prestigious, cats that speak this, Willie shit
Flooded pieces, my hand releases, snatches
Smack ya cabbage, half-ass rappers, shouldn't have it
So I grab it, never run, the outcome
is usually, a beatdown brutally, fuck who you be
or where you're from, West or East coast, squeeze toast
Leave most in the blood they layin in, what, what?
The rings and things you sing about, bring em out
It's hard to yell when the barrel's in your mouth
It's more than I expected, I thought your jewels was rented
but they wasn't, so run it, cousin
I could chill, the heat doesn't
Ran up in your shell about a dozen
You never see bank like Frank White
Your hand clutching, your chest-plate contemplate
You bought to die, nigga wait, keep yo' hands high

[Redman]
Yo.. yo yo
I don't brownnose out of town hoes
I'm up around fo' with the crowbar to the five point oh
I get bagged, I'm John Doe, suspect
You ass like prime roastin, Calvin Klein clothes
Explode the pyros when Doc guest appear
I'm out there, I bought it with George Jetson here
Your time is near, so get your body dropped off
I stopped trustin niggaz since Gotti got caught
It's Bricks keep your wrist covered, or piss colored
By the waist got a gun as dark as Kris brother
I.C.U., my sheisty crew, like ice me too
I break your legs, leave your eyes slightly blue
The Doc was born with a grenade palm
I'm concurrent in your hood like a, teenage mom
Yo Biggie (what? what?) She havin my bay-bayy
If I pull out the A.K., keep your hands high

""This rule is so underrated.."" -> B.I.G.
""Actin as if it can't happen, you're frontin"" -> Meth
""Ain't no other kings in this rap thing.."" -> B.I.G.
""Biggie, a motherfuckin rap phenomenon"" -> B.I.G.
(repeat all 2X)

[Notorious B.I.G.]
Uhh, uhh
I got a new mouth to feed, I'm due South with keys
Y'all pick seeds out y'all weed, I watch cowards bleed
Motherfucker please, it's my block with my rocks
Fuck that hip-hop, them one-two's, and you don't stops
Me and my nigga Lance, took Kim and Cee's advance
Bought ten bricks, four pounds of weed plants
from Branson, now we lampin, twelve room mansion
Bitches get naked off ""Get Money"", ""Player's Anthem""
Don't forget, ""One More Chance"" and, my other hits, other shit
niggaz spit be counterfeit, robbery come actually
in and out like fuckin rapidly, pass the gat to me
Make his chest rest, where his back should be, talkin blasphemy
Blastin me, your family, rest in coffins often
Frank Wizzard, fuck you soft or fragilla
Play hard like Reggie Miller, rapper, slash dope dealer
slash Gorilla, slash illest turned killer

[Method Man]
Now now
Don't approach me with that rah rah shit, you out of pocket
I take these adolescents back to Spofford
Mentally my energy, is like a figure eight, on it's side
that's infinity -- too many sick niggaz, nickel nines;
bring the remedy -- when you play the field, what's the penalty
Unnecessary roughness, career endin injuries for suckers
Stuck on stupid, shoot em with a dart like Cupid
until they got love for my music
Star Wars I'm Han Solo, with three egoes
and three charges, I got to ""See-three-P.O.'s""
This is whoop-yo'-ass-day, the sequel
Eyeball blower with no equal, niggaz swingin swords in the WAR
that's my people, sho' nuff, befo' I roll up
This is a hold up, hands high, reach for the sky
I rep S.I., the unpretty, word to Left Eye
New York Shitty, put they weight on it
And who better for the job than Biggie? The Notorious
Jeee-zus, ""Unbelievable"" rhyme that reaches
and touch individual, small frame buck and change
MC, What's-Your-Name, tuck your chain
All about the fortune, fuck the fame, labels still extortin
Kick me when I'm down, but I'm up again, scorchin
Hot -- forcin my way up in the door
to kill the bullshit like a matador
Keep your hands high (what?)
",The Notorious B.I.G.,Rap,1.1,2
30304,My Wave,"Yeah

Take, if you want a slice
If you want a piece
If it feels alright
Break, if you like the sound
If it gets you up
If it takes you down
Share, if it makes you sleep
If it sets you free
If it helps you breathe

Don't come over here
And piss on my gate
Save it, just keep it
Off my wave
Hey

Cry, if you want to cry;
If it helps you see
If it clears your eyes
Hate, if you want to hate
If it keeps you safe
If it makes you brave
Pray, if you want to pray
If you like to kneel
If you like to lay

Don't come over here
And piss on my gate
Save it, just keep it
Off my wave

Keep it off my wave
Keep it off my wave, my wave
Keep it off my wave
Keep it off my wave
Keep it off my wave, my wave
My wave, my wave, my wave
my wave, my wave

Cry, if you want to cry;
If it helps you see
If it clears your eyes
Hate, if you want to hate
If it keeps you safe
If it makes you brave
Take, if you want a slice
If you want a piece
If it feels alright

Don't come over here
And piss on my gate
Save it, just keep it
Off my wave

Keep it off my wave
Keep it off my wave, my wave
Keep it off my wave
Keep it off my wave
Keep it off my wave, my wave
My wave, my wave, my wave, my wave
My wave, my wave, my wave
my wave, my wave
Keep it off my wave
Keep it off my wave, my wave

Keep it off my wave
Keep it off my wave
Keep it off my wave
Keep it off my wave
Keep it off, keep it off
Keep it off my wave
Keep it off, keep it off
Keep it off my wave",Soundgarden,Rock; Grunge,1.5,5
50186,"Buss a Bubble (Ft. Chi Ching Ching, Ras Ajai, Looga Man, Sotto Bless) (Remix)","She love di duty rock, yeah yeah
She wan fi get it nonstop, I say
She love di duty rock, mi ready, yeah yeah

I was born to give you di pleasure
I was born to give you di pain
Give you di sunshine fall and the rain
Mi buss it up and make yo call out mi name
Can't complain when you get di Sugarcane

So buss a bubble fi mi, cause trouble fi mi
Split down pon di floor, pon di double fi mi
Shake it shake it girl, wiggle, wobble fi me
Gyal if you muggle fi mi, gyal if you muggle fi mi",Sean Paul,Hip Hop; Reggae,8.1,2
103792,Come Again,"You push yourself on me
Force yourself on me
Free yourself through me
You better save yourself from me
Every time you want me to be
Something I could never be
Guess you'll have to wait and see
Till the next time that you have to

Come again
Come again
This time you will have to
Come again
Come again

I hate myself for you
I break myself for you
I'd kill myself for you
I'd better save myself from you
Every time you want me to be
Something I could never be
Guess you'll have to wait and see
Till the next time that you have to

Come again
Come again
This time you will
Come again
Come again
Mother fucker you will have to
Come again
Come again
This time you will
Come again
Come again
Mother fucker you will have to
Come again
Come again

If you have to walk my way
Have something to say
Get the fuck away
Can't take one more day
I cannot conform

Come again
Come again
This time you will
Come again
Come again
Mother fucker you will have to
Come again
Come again
This time you will
Come again
Come again
Mother fucker you will have to
Come again
Come again
",Staind,Rock; Rock Alternativo; Heavy Metal,1.0,5
98618,"1,2,3","Long time did I run down like that
I would have three years ago-today but not now
It's not like that

It's all right to feel good
It's all for nothing to be wrong
The deepest dream that we have
Could be tomorrow's song

Just what did he say stop
1 and 2 and 3
Run up the hill do as you do
I'm going to chill you know you really
Ought to do the same
They wanna bug you
But I won't let them today
It's a sure shot to the bomb drop
Every single
You know you swing
it and you fling it
And you make some shit up but
It's just 123
",311,Rock; Surf Music; Reggae,1.0,5
36149,Don't Question My Heart,"I heard you've been looking for me but, you looked for trouble.
You're gonna see that your words are dangerous. Your talk is cheap.

So now I'm standin' here. Now I'm standin' here.

You tell yourself you know what to do and you realize that I am comin' for you then you'll change your mind and run like a child when...

You see me standin' here! Now I'm standin' here!

Don't question my heart! Don't question the fire that burns inside!
Don't question my heart! Don't question a heart prepare to fight!

I got where I am because I didn't chase fame. And I seen you before and you're all the same.

Just one more mouth talkin' words insane. Just one more mistake, with different names!

Don't question my heart! Don't question the fire that burns inside!
Don't question my heart! Don't question a heart prepare to fight!

I heard you're lookin' for me... I'm standin' here. Still standin' here.

I'm standin' here! Still standin' here!

Don't question my heart! Don't question the fire that burns inside!
Don't question my heart! Don't question a heart prepare to fight!",Saliva,Heavy Metal; Hard Rock; Rock,0.0,1
46656,Silent Scream,"Nightmare!
Mass depression, silent screams out there
Damn it, into darkness
Something that'll never rise
Darkness!
In this something that the world that follows rhyme
Impetrate, simplest wine
Deep within my spine

Silent Scream!
Tearing it up in time
It'll die sucking the part where it'll die

Shout!
Another time
Evil hard knock game
Mistake!
Mistaken, something that's chewing you down
Scared!
Of dangers of light
Bury tainted guy
Grain...
Suffers rhyme
Hard is something that is destroyed

Silent Scream!
The worst of the bitterest sound
Evil does the light turn into stow

Light!
Free of dead
Humanity mayday
Destruction
To the end show
Preserved the nastiest prey...
Wake me up... and down
Infinity to prey
Selection to the later
It brought us the end of the day

Nightmare!
Mass depression, silent screams out there
Damn it, into darkness
Something that'll never rise

Innocent!
We're all gonna die!
Silent scream!
It's the end of light!

",Children Of Bodom,Heavy Metal; Gótico; Dance,0.0,1
16731,It Sure Was Good,"We don't know what it was but we had it
We don't where it went but we lost it
And it may never come back again but I see wish it would
We don't know what it was but it sure was good

First time I laid eyes on you I saw it
Shining in your eyes was bright as day
And when I held you in my arms I felt it
Oh but like a fool I let it slip away

We don't know what it was but we had it...

First time that we kissed I could taste it
Sweet upon my lips like a song
The moment we made love I knew we found it
One day I woken up and it was gone

We don't know what it was but we had it...

If you had one more chance would you take it
And would you stand beside me from now on
The second time around could we make it
And would you be there with me hold it on

We don't know what it was but we had it...
No we don't know what it was but it sure was good",George Jones,Country; Folk,0.0,0
34764,Serial Killer,"Here we are alone now, just you and me
Down the halls we waltz, your end is in my dreams

I wanna be like him, he had a dreadful life
I wanna learn to shoot, I want to use a knife
I like the smell of fear that makes you paralyzed
I am the boy next door who put that fear in your eyes

I hope you can leave all this for yourself
I'll be your slave and then dig your grave
While we're makin' love, I dream revolver

They say I'm crazy, falling apart
Do you like the way I murdered your heart
I'm smart and cagey, I come in the night
If you let me in, you'll give up your life

He like to roll in the mud, up to his chin
Now I open my head and let his voodoo in
I rode those sissy bars all the way to hell
Sweet mother justice, I've heard it all
There's nothing left to tell

I hope you didn't need all this for yourself
And the man with the star says he knows you are
But I just keep singin' la dee dee dah

They say I'm crazy, falling apart
Do you like the way I murdered your heart
I'm smart and cagey, I come in the night
If you let me in, you'll give up your life

Boom, boom, bang, bang screams in the dark
If you let him in, he'll murder your heart
Boom, boom, bang, bang screams in the dark
If you let him in, he'll murder your heart

He's not the man you see at home
He's someone else inside
His life's no longer his own
He's someone else inside
Creepin' up when you're alone
And now he stands inside
He wants to take you to hell
But for him it's heaven

Sorry to say but you're not the only one
You're not the lonely one that turned my light on
While I'll turned yours on, on, on...
",Slash,Rock; Hard Rock; Heavy Metal,0.9,5
